0,1,2,3,4
Andy Pycroft,Zimbabwe,Right hand Bat,Right arm Offbreak,
Bas de Leede,Netherlands,Right hand Bat,Right arm Fast medium,Batting Allrounder
Junaid Siddique,U.A.E.,Right hand Bat,Right arm Medium fast,Bowler
Chirag Suri,U.A.E.,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Opening Batter
Muhammad Waseem,U.A.E.,Right hand Bat,Right arm Medium,Opening Batter
Kashif Daud,U.A.E.,Right hand Bat,Right arm Medium fast,Bowling Allrounder
Vriitya Aravind,U.A.E.,Right hand Bat,,Wicketkeeper
Zawar Farid,U.A.E.,Right hand Bat,Right arm Medium,Bowler
Basil Hameed,U.A.E.,Right hand Bat,Right arm Offbreak,Middle order Batter
Chundangapoyil Rizwan,U.A.E.,Right hand Bat,Legbreak Googly,Middle order Batter
Aayan Afzal Khan,U.A.E.,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Karthik Meiyappan,U.A.E.,Right hand Bat,Legbreak,Bowler
Zahoor Khan,U.A.E.,Right hand Bat,Right arm Medium fast,Bowler
Fred Klaassen,Netherlands,Right hand Bat,Left arm Fast medium,Bowler
Tim Pringle,Netherlands,Right hand Bat,Slow Left arm Orthodox,Allrounder
Logan van Beek,Netherlands,Right hand Bat,Right arm Medium fast,Bowler
Paul van Meekeren,Netherlands,Right hand Bat,Right arm Fast medium,Bowler
Roelof van der Merwe,Netherlands,Right hand Bat,Slow Left arm Orthodox,Allrounder
Vikramjit Singh,Netherlands,Left hand Bat,Right arm Medium fast,Opening Batter
Max O'Dowd,Netherlands,Right hand Bat,Right arm Offbreak,Opening Batter
Colin Ackermann,Netherlands,Right hand Bat,Right arm Offbreak,Batting Allrounder
Tom Cooper,Netherlands,Right hand Bat,Right arm Offbreak,Middle order Batter
Scott Edwards,Netherlands,Right hand Bat,,Wicketkeeper Batter
Richard Kettleborough,England,Left hand Bat,Right arm Medium,
Ranjan Madugalle,Sri Lanka,Right hand Bat,Right arm Offbreak,Middle order Batter
George Munsey,Scotland,Left hand Bat,Right arm Medium fast,Opening Batter
Michael Jones,Scotland,Right hand Bat,Right arm Offbreak,Top order Batter
Matthew Cross,Scotland,Right hand Bat,,Wicketkeeper Batter
Richie Berrington,Scotland,Right hand Bat,Right arm Medium fast,Top order Batter
Calum MacLeod,Scotland,Right hand Bat,"Right arm Medium fast, Right arm Offbreak",Top order Batter
Michael Leask,Scotland,Right hand Bat,Right arm Offbreak,Allrounder
Chris Greaves,Scotland,Right hand Bat,Legbreak,Bowler
Mark Watt,Scotland,Left hand Bat,Slow Left arm Orthodox,Bowler
Josh Davey,Scotland,Right hand Bat,Right arm Medium fast,Bowler
Safyaan Sharif,Scotland,Right hand Bat,Right arm Medium fast,Bowler
Brad Wheal,Scotland,Right hand Bat,Right arm Fast medium,Bowler
Kyle Mayers,West Indies,Left hand Bat,Right arm Medium,Batting Allrounder
Akeal Hosein,West Indies,Left hand Bat,Slow Left arm Orthodox,Bowler
Alzarri Joseph,West Indies,Right hand Bat,Right arm Fast,Bowler
Obed McCoy,West Indies,Left hand Bat,Left arm Fast medium,Bowler
Jason Holder,West Indies,Right hand Bat,Right arm Medium fast,Bowling Allrounder
Odean Smith,West Indies,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Evin Lewis,West Indies,Left hand Bat,,Opening Batter
Brandon King,West Indies,Right hand Bat,,Top order Batter
Nicholas Pooran,West Indies,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter
Shamarh Brooks,West Indies,Right hand Bat,Legbreak,Top order Batter
Rovman Powell,West Indies,Right hand Bat,Right arm Medium fast,Middle order Batter
Aleem Dar,Pakistan,Right hand Bat,Legbreak,
Paul Wilson,Australia,Right hand Bat,Right arm Fast medium,
Chris Brown,New Zealand,Right hand Bat,Right arm Fast medium,
Kumar Dharmasena,Sri Lanka,Right hand Bat,Right arm Offbreak,Allrounder
Chris Broad,England,Left hand Bat,Right arm Medium,Opening Batter
Sikandar Raza,Zimbabwe,Right hand Bat,Right arm Offbreak,Batting Allrounder
Regis Chakabva,Zimbabwe,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Craig Ervine,Zimbabwe,Left hand Bat,Right arm Offbreak,Middle order Batter
Wessly Madhevere,Zimbabwe,Right hand Bat,Right arm Offbreak,Allrounder
Sean Williams,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Middle order Batter
Milton Shumba,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Top order Batter
Ryan Burl,Zimbabwe,Left hand Bat,Legbreak,Middle order Batter
Luke Jongwe,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler
Tendai Chatara,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler
Richard Ngarava,Zimbabwe,Left hand Bat,Left arm Fast medium,Bowler
Blessing Muzarabani,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler
Josh Little,Ireland,Right hand Bat,Left arm Fast medium,Bowler
Mark Adair,Ireland,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Barry McCarthy,Ireland,Right hand Bat,Right arm Fast medium,Bowler
Curtis Campher,Ireland,Right hand Bat,Right arm Medium fast,Allrounder
Simi Singh,Ireland,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Bowling Allrounder
Gareth Delany,Ireland,Right hand Bat,Legbreak Googly,Batting Allrounder
Paul Stirling,Ireland,Right hand Bat,Right arm Offbreak,Batting Allrounder
Andy Balbirnie,Ireland,Right hand Bat,Right arm Offbreak,Batter
Lorcan Tucker,Ireland,Right hand Bat,,Wicketkeeper Batter
Harry Tector,Ireland,Right hand Bat,Right arm Offbreak,Middle order Batter
George Dockrell,Ireland,Right hand Bat,Slow Left arm Orthodox,Allrounder
Timm van der Gugten,Netherlands,Right hand Bat,Right arm Fast medium,Bowler
Charith Asalanka,Sri Lanka,Left hand Bat,Right arm Offbreak,Batting Allrounder
Aryan Lakra,U.A.E.,Left hand Bat,Slow Left arm Orthodox,Bowler
Johnson Charles,West Indies,Right hand Bat,,Wicketkeeper Batter
Tony Munyonga,Zimbabwe,Right hand Bat,Right arm Offbreak,Allrounder
Lahiru Kumara,Sri Lanka,Left hand Bat,Right arm Fast,Bowler
Binura Fernando,Sri Lanka,Right hand Bat,Left arm Medium fast,Bowler
Richard Illingworth,England,Right hand Bat,Slow Left arm Orthodox,Bowler
Alishan Sharafu,U.A.E.,Right hand Bat,Right arm Medium,Opening Batter
Fahad Nawaz,U.A.E.,Right hand Bat,Slow Left arm Orthodox,Allrounder
Ahmed Raza,U.A.E.,Right hand Bat,Slow Left arm Orthodox,Bowler
Ruben Trumpelmann,Namibia,Right hand Bat,Left arm Fast,Bowler
Ahsan Raza,Pakistan,Right hand Bat,,
Chris Gaffaney,New Zealand,Right hand Bat,,
Michael Gough,England,Right hand Bat,Right arm Offbreak,
Nitin Menon,India,Right hand Bat,,
David Boon,Australia,Right hand Bat,Right arm Offbreak,Top order Batter
Devon Conway,New Zealand,Left hand Bat,Right arm Medium,Wicketkeeper Batter
Finn Allen,New Zealand,Right hand Bat,,Top order Batter
Kane Williamson,New Zealand,Right hand Bat,Right arm Offbreak,Top order Batter
Glenn Phillips,New Zealand,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
James Neesham,New Zealand,Left hand Bat,Right arm Medium fast,Batting Allrounder
Mark Chapman,New Zealand,Left hand Bat,Slow Left arm Orthodox,Allrounder
Mitchell Santner,New Zealand,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Ish Sodhi,New Zealand,Right hand Bat,Legbreak,Bowler
Tim Southee,New Zealand,Right hand Bat,Right arm Medium fast,Bowler
Lockie Ferguson,New Zealand,Right hand Bat,Right arm Fast,Bowler
Trent Boult,New Zealand,Right hand Bat,Left arm Fast medium,Bowler
Mitchell Starc,Australia,Left hand Bat,Left arm Fast,Bowler
Josh Hazlewood,Australia,Left hand Bat,Right arm Fast medium,Bowler
Pat Cummins,Australia,Right hand Bat,Right arm Fast,Bowler
Marcus Stoinis,Australia,Right hand Bat,Right arm Medium,Batting Allrounder
Adam Zampa,Australia,Right hand Bat,Legbreak Googly,Bowler
David Warner,Australia,Left hand Bat,Legbreak,Opening Batter
Aaron Finch,Australia,Right hand Bat,Slow Left arm Orthodox,Top order Batter
Mitchell Marsh,Australia,Right hand Bat,Right arm Medium,Allrounder
Glenn Maxwell,Australia,Right hand Bat,Right arm Offbreak,Batting Allrounder
Tim David,Australia,Right hand Bat,Right arm Offbreak,Middle order Batter
Matthew Wade,Australia,Left hand Bat,Right arm Medium,Wicketkeeper Batter
Adrian Holdstock,South Africa,Right hand Bat,Right arm Fast medium,
Langton Rusere,Zimbabwe,,,
Sam Curran,England,Left hand Bat,Left arm Medium fast,Allrounder
Hazratullah Zazai,Afghanistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter
Rahmanullah Gurbaz,Afghanistan,Right hand Bat,,Wicketkeeper Batter
Ibrahim Zadran,Afghanistan,Right hand Bat,Right arm Medium fast,Opening Batter
Usman Ghani,Afghanistan,Right hand Bat,,Opening Batter
Najibullah Zadran,Afghanistan,Left hand Bat,Right arm Offbreak,Middle order Batter
Mohammad Nabi,Afghanistan,Right hand Bat,Right arm Offbreak,Allrounder
Azmatullah Omarzai,Afghanistan,Right hand Bat,Right arm Medium fast,Allrounder
Rashid Khan,Afghanistan,Right hand Bat,Legbreak Googly,Bowling Allrounder
Mujeeb Ur Rahman,Afghanistan,Right hand Bat,Right arm Offbreak,Bowler
Fareed Ahmad,Afghanistan,Left hand Bat,Left arm Fast medium,Bowler
Fazalhaq Farooqi,Afghanistan,Right hand Bat,Left arm Fast medium,Bowler
Ben Stokes,England,Left hand Bat,Right arm Fast medium,Allrounder
Chris Woakes,England,Right hand Bat,Right arm Fast medium,Allrounder
Mark Wood,England,Right hand Bat,Right arm Fast,Bowler
Adil Rashid,England,Right hand Bat,Legbreak,Bowler
Jos Buttler,England,Right hand Bat,,Wicketkeeper Batter
Alex Hales,England,Right hand Bat,Right arm Medium,Opening Batter
Dawid Malan,England,Left hand Bat,Legbreak,Top order Batter
Liam Livingstone,England,Right hand Bat,Legbreak,Batting Allrounder
Harry Brook,England,Right hand Bat,Right arm Medium,Batter
Moeen Ali,England,Left hand Bat,Right arm Offbreak,Batting Allrounder
Ashen Bandara,Sri Lanka,Right hand Bat,Legbreak,Middle order Batter
Virat Kohli,India,Right hand Bat,Right arm Medium,Top order Batter
Mohammad Rizwan,Pakistan,Right hand Bat,,Wicketkeeper Batter
Babar Azam,Pakistan,Right hand Bat,Right arm Offbreak,Batter
Shan Masood,Pakistan,Left hand Bat,Right arm Medium fast,Opening Batter
Iftikhar Ahmed,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter
Shadab Khan,Pakistan,Right hand Bat,Legbreak,Allrounder
Haider Ali,Pakistan,Right hand Bat,,Middle order Batter
Mohammad Nawaz,Pakistan,Left hand Bat,Slow Left arm Orthodox,Allrounder
Asif Ali,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter
Shaheen Shah Afridi,Pakistan,Left hand Bat,Left arm Fast,Bowler
Haris Rauf,Pakistan,Right hand Bat,Right arm Fast,Bowler
Naseem Shah,Pakistan,Right hand Bat,Right arm Fast,Bowler
Bhuvneshwar Kumar,India,Right hand Bat,Right arm Medium,Bowler
Arshdeep Singh,India,Left hand Bat,Left arm Medium fast,Bowler
Mohammed Shami,India,Right hand Bat,Right arm Fast,Bowler
Hardik Pandya,India,Right hand Bat,Right arm Medium fast,Allrounder
Ravichandran Ashwin,India,Right hand Bat,Right arm Offbreak,Bowling Allrounder
Axar Patel,India,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
KL Rahul,India,Right hand Bat,,Opening Batter
Rohit Sharma,India,Right hand Bat,Right arm Offbreak,Top order Batter
Suryakumar Yadav,India,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter
Dinesh Karthik,India,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Taskin Ahmed,Bangladesh,Left hand Bat,Right arm Fast,Bowler
Najmul Hossain Shanto,Bangladesh,Left hand Bat,Right arm Offbreak,Top order Batter
Soumya Sarkar,Bangladesh,Left hand Bat,Right arm Medium fast,Middle order Batter
Litton Das,Bangladesh,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Shakib Al Hasan,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Allrounder
Afif Hossain,Bangladesh,Left hand Bat,Right arm Offbreak,Allrounder
Yasir Ali,Bangladesh,Right hand Bat,Right arm Offbreak,Middle order Batter
Nurul Hasan,Bangladesh,Right hand Bat,,Wicketkeeper Batter
Mosaddek Hossain,Bangladesh,Right hand Bat,Right arm Offbreak,Middle order Batter
Hasan Mahmud,Bangladesh,Right hand Bat,Right arm Medium,Bowler
Mustafizur Rahman,Bangladesh,Left hand Bat,Left arm Fast medium,Bowler
Shariz Ahmad,Netherlands,Left hand Bat,Legbreak Googly,Bowler
Kagiso Rabada,South Africa,Left hand Bat,Right arm Fast,Bowler
Wayne Parnell,South Africa,Left hand Bat,Left arm Medium fast,Bowler
Lungi Ngidi,South Africa,Right hand Bat,Right arm Fast medium,Bowler
Keshav Maharaj,South Africa,Right hand Bat,Slow Left arm Orthodox,Bowler
Anrich Nortje,South Africa,Right hand Bat,Right arm Fast,Bowler
Quinton de Kock,South Africa,Left hand Bat,,Wicketkeeper Batter
Temba Bavuma,South Africa,Right hand Bat,Right arm Medium,Middle order Batter
Rilee Rossouw,South Africa,Left hand Bat,Right arm Offbreak,Top order Batter
Aiden Markram,South Africa,Right hand Bat,Right arm Offbreak,Opening Batter
David Miller,South Africa,Left hand Bat,Right arm Offbreak,Middle order Batter
Tristan Stubbs,South Africa,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Ashton Agar,Australia,Left hand Bat,Slow Left arm Orthodox,Bowler
Fionn Hand,Ireland,Right hand Bat,Right arm Medium,Bowling Allrounder
Naveen-ul-Haq,Afghanistan,Right hand Bat,Right arm Medium fast,Bowler
Darwish Rasooli,Afghanistan,Right hand Bat,Right arm Offbreak,Top order Batter
Qais Ahmad,Afghanistan,Right hand Bat,Legbreak,Bowler
Mohammad Saleem,Afghanistan,Right hand Bat,Right arm Fast,Bowler
Martin Guptill,New Zealand,Right hand Bat,Right arm Offbreak,Opening Batter
Michael Bracewell,New Zealand,Left hand Bat,Right arm Offbreak,Batting Allrounder
Daryl Mitchell,New Zealand,Right hand Bat,Right arm Medium,Allrounder
Adam Milne,New Zealand,Right hand Bat,Right arm Fast,Bowler
Tabraiz Shamsi,South Africa,Right hand Bat,Left arm Wrist spin,Bowler
Mehidy Hasan Miraz,Bangladesh,Right hand Bat,Right arm Offbreak,Allrounder
Brad Evans,Zimbabwe,Right hand Bat,Right arm Fast,Allrounder
Mohammad Wasim,Pakistan,Right hand Bat,Right arm Fast medium,Allrounder
Graham Hume,Ireland,Left hand Bat,Right arm Fast medium,Bowler
Conor Olphert,Ireland,Right hand Bat,Right arm Medium,Bowler
Steven Smith,Australia,Right hand Bat,Legbreak Googly,Middle order Batter
Kane Richardson,Australia,Right hand Bat,Right arm Fast medium,Bowler
Cameron Green,Australia,Right hand Bat,Right arm Fast medium,Batting Allrounder
Chris Jordan,England,Right hand Bat,Right arm Fast medium,Bowler
David Willey,England,Left hand Bat,Left arm Fast medium,Bowling Allrounder
Tymal Mills,England,Right hand Bat,Left arm Fast,Bowler
Phil Salt,England,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Kasun Rajitha,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowler
Stephan Myburgh,Netherlands,Left hand Bat,Right arm Offbreak,Opening Batter
Brandon Glover,Netherlands,Right hand Bat,Right arm Fast,Bowler
Fakhar Zaman,Pakistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter
Deepak Hooda,India,Right hand Bat,Right arm Offbreak,Allrounder
Gulbadin Naib,Afghanistan,Right hand Bat,Right arm Medium fast,Batting Allrounder
Shoriful Islam,Bangladesh,Left hand Bat,Left arm Medium fast,Bowler
Mohammad Haris,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter
Heinrich Klaasen,South Africa,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Nasum Ahmed,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Bowler
Ebadot Hossain,Bangladesh,Right hand Bat,Right arm Fast medium,Bowler
Rishabh Pant,India,Left hand Bat,,Wicketkeeper Batter
Wellington Masakadza,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Bowler
