name,team,batting_style,bowling_style,player_role
Nurul Hasan,Bangladesh,Sohan,Right hand Bat,Wicketkeeper
Mosaddek Hossain,Bangladesh,Saikat,Right hand Bat,Right arm Offbreak
Hasan Mahmud,Bangladesh,Right hand Bat,Right arm Medium,Bowler
Mustafizur Rahman,Bangladesh,Left hand Bat,Left arm Fast medium,Bowler
Shariz Ahmad,Netherlands,Left hand Bat,Legbreak Googly,Bowler
Kagiso Rabada,South Africa,Left hand Bat,Right arm Fast,Bowler
Wayne Parnell,South Africa,"Pigeon, Parny",Left hand Bat,Left arm Medium fast
Lungi Ngidi,South Africa,Right hand Bat,Right arm Fast medium,Bowler
Keshav Maharaj,South Africa,Right hand Bat,Slow Left arm Orthodox,Bowler
Anrich Nortje,South Africa,Right hand Bat,Right arm Fast,Bowler
Quinton de Kock,South Africa,Left hand Bat,Wicketkeeper,Wicketkeeper Batter
Temba Bavuma,South Africa,Right hand Bat,Right arm Medium,Middle order Batter
Rilee Rossouw,South Africa,Left hand Bat,Right arm Offbreak,Top order Batter
Aiden Markram,South Africa,Right hand Bat,Right arm Offbreak,Opening Batter
David Miller,South Africa,Left hand Bat,Right arm Offbreak,Middle order Batter
Tristan Stubbs,South Africa,Right hand Bat,Right arm Offbreak,Wicketkeeper
Ashton Agar,Australia,Left hand Bat,Slow Left arm Orthodox,Bowler
Fionn Hand,Ireland,Right hand Bat,Right arm Medium,Bowling Allrounder
Naveen-ul-Haq,Afghanistan,Right hand Bat,Right arm Medium fast,Bowler
Darwish Rasooli,Afghanistan,Right hand Bat,Right arm Offbreak,Top order Batter
Qais Ahmad,Afghanistan,Right hand Bat,Legbreak,Bowler
Mohammad Saleem,Afghanistan,Right hand Bat,Right arm Fast,Bowler
Martin Guptill,New Zealand,Right hand Bat,Right arm Offbreak,Opening Batter
Michael Bracewell,New Zealand,Left hand Bat,Right arm Offbreak,Wicketkeeper
Daryl Mitchell,New Zealand,Moose,Right hand Bat,Right arm Medium
Adam Milne,New Zealand,Right hand Bat,Right arm Fast,Bowler
Tabraiz Shamsi,South Africa,Right hand Bat,Left arm Wrist spin,Bowler
Mehidy Hasan Miraz,Bangladesh,Miraz,Right hand Bat,Right arm Offbreak
Brad Evans,Zimbabwe,Right hand Bat,Right arm Fast,Allrounder
Mohammad Wasim,Pakistan,Right hand Bat,Right arm Fast medium,Allrounder
Graham Hume,Ireland,Left hand Bat,Right arm Fast medium,Bowler
Conor Olphert,Ireland,Right hand Bat,Right arm Medium,Bowler
Steven Smith,Australia,Steve Smith,Right hand Bat,Legbreak Googly
Kane Richardson,Australia,Right hand Bat,Right arm Fast medium,Bowler
Cameron Green,Australia,Right hand Bat,Right arm Fast medium,Batting Allrounder
Chris Jordan,England,CJ,Right hand Bat,Right arm Fast medium
David Willey,England,Left hand Bat,Left arm Fast medium,Bowling Allrounder
Tymal Mills,England,Right hand Bat,Left arm Fast,Bowler
Phil Salt,England,Right hand Bat,Right arm Offbreak,Wicketkeeper
Kasun Rajitha,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowler
Stephan Myburgh,Netherlands,Left hand Bat,Right arm Offbreak,Opening Batter
Brandon Glover,Netherlands,Right hand Bat,Right arm Fast,Bowler
Fakhar Zaman,Pakistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter
Deepak Hooda,India,Right hand Bat,Right arm Offbreak,Allrounder
Gulbadin Naib,Afghanistan,Gulbadeen Naib,Right hand Bat,Right arm Medium fast
Shoriful Islam,Bangladesh,Left hand Bat,Left arm Medium fast,Bowler
Mohammad Haris,Pakistan,Right hand Bat,Right arm Offbreak,Occasional Wicketkeeper
Heinrich Klaasen,South Africa,Right hand Bat,Right arm Offbreak,Wicketkeeper
Nasum Ahmed,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Bowler
Ebadot Hossain,Bangladesh,Right hand Bat,Right arm Fast medium,Bowler
Rishabh Pant,India,Left hand Bat,Wicketkeeper,Wicketkeeper Batter
Wellington Masakadza,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Bowler
